run_time,read_time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
0.9698,0.0178,-0.0861,-0.0162,9.4540,0.5853,0.1152,-0.5299,-0.0437,-0.0197,0.0589
0.9878,0.0178,-0.1077,-0.0084,9.4522,0.5884,0.1163,-0.5397,-0.0455,-0.0168,0.0588
1.0058,0.0178,-0.0915,-0.0431,9.4846,0.5848,0.1183,-0.5397,-0.0455,-0.0170,0.0579
1.0238,0.0178,-0.0957,-0.0084,9.4522,0.5848,0.1183,-0.5397,-0.0483,-0.0176,0.0620
1.0418,0.0178,-0.1214,-0.0281,9.4439,0.5842,0.1225,-0.5383,-0.0476,-0.0182,0.0599
1.0598,0.0178,-0.0987,-0.0389,9.4726,0.5803,0.1147,-0.5429,-0.0489,-0.0157,0.0589
1.0778,0.0178,-0.0969,-0.0132,9.4666,0.5951,0.1211,-0.5510,-0.0444,-0.0160,0.0589
1.0958,0.0178,-0.1226,-0.0179,9.4181,0.5951,0.1211,-0.5510,-0.0499,-0.0192,0.0562
1.1138,0.0178,-0.1274,-0.0006,9.4528,0.5921,0.1135,-0.5478,-0.0449,-0.0168,0.0615
1.1318,0.0178,-0.1083,-0.0209,9.4499,0.5937,0.1191,-0.5431,-0.0428,-0.0171,0.0600
1.1499,0.0179,-0.0766,-0.0221,9.4540,0.5937,0.1191,-0.5431,-0.0486,-0.0215,0.0588
1.1678,0.0177,-0.0921,-0.0341,9.4612,0.5839,0.1133,-0.5425,-0.0431,-0.0140,0.0579
1.1859,0.0178,-0.1298,-0.0108,9.4499,0.5912,0.1130,-0.5391,-0.0473,-0.0151,0.0570
1.2039,0.0177,-0.1172,-0.0239,9.4493,0.5912,0.1130,-0.5391,-0.0460,-0.0128,0.0609
1.2219,0.0178,-0.0969,-0.0126,9.4762,0.5887,0.1141,-0.5361,-0.0452,-0.0153,0.0593
1.2399,0.0178,-0.0796,-0.0197,9.4744,0.5842,0.1147,-0.5352,-0.0460,-0.0182,0.0576
1.2579,0.0179,-0.1190,-0.0233,9.4403,0.5887,0.1180,-0.5401,-0.0438,-0.0151,0.0600
1.2769,0.0187,-0.1214,-0.0293,9.4606,0.5887,0.1180,-0.5401,-0.0480,-0.0246,0.0597
1.2959,0.0186,-0.1065,-0.0144,9.4618,0.5865,0.1102,-0.5323,-0.0461,-0.0156,0.0579
1.3139,0.0178,-0.1107,-0.0239,9.4678,0.5817,0.1096,-0.5396,-0.0409,-0.0188,0.0614
1.3319,0.0178,-0.1089,-0.0215,9.4690,0.5817,0.1096,-0.5396,-0.0481,-0.0211,0.0591
1.3499,0.0178,-0.0933,-0.0407,9.4600,0.5909,0.1147,-0.5450,-0.0476,-0.0185,0.0599
1.3679,0.0178,-0.1053,-0.0353,9.4493,0.5907,0.1147,-0.5401,-0.0428,-0.0194,0.0591
1.3859,0.0178,-0.1089,-0.0389,9.4708,0.5907,0.1147,-0.5464,-0.0452,-0.0145,0.0605
1.4039,0.0178,-0.1125,-0.0275,9.5055,0.5783,0.1130,-0.5464,-0.0444,-0.0156,0.0596
1.4219,0.0178,-0.1065,-0.0138,9.4594,0.5887,0.1144,-0.5365,-0.0454,-0.0173,0.0596
1.4399,0.0178,-0.0987,-0.0203,9.4696,0.5786,0.1138,-0.5293,-0.0438,-0.0163,0.0602
1.4579,0.0178,-0.0957,-0.0144,9.4600,0.5786,0.1138,-0.5293,-0.0421,-0.0151,0.0606
1.4759,0.0178,-0.0927,-0.0203,9.4271,0.5853,0.1144,-0.5512,-0.0452,-0.0153,0.0606
1.4939,0.0178,-0.0939,-0.0072,9.4881,0.5907,0.1169,-0.5412,-0.0455,-0.0156,0.0580
1.5119,0.0178,-0.1035,-0.0239,9.4564,0.5907,0.1169,-0.5412,-0.0426,-0.0148,0.0608
1.5299,0.0178,-0.1029,-0.0144,9.3966,0.5831,0.1102,-0.5421,-0.0478,-0.0147,0.0593
1.5479,0.0178,-0.1065,-0.0443,9.4493,0.5848,0.1175,-0.5520,-0.0460,-0.0171,0.0594
1.5659,0.0178,-0.0927,-0.0144,9.4672,0.5848,0.1175,-0.5278,-0.0452,-0.0186,0.0577
1.5839,0.0178,-0.1172,-0.0257,9.4421,0.5909,0.1144,-0.5278,-0.0447,-0.0150,0.0580
1.6019,0.0178,-0.1017,-0.0389,9.6060,0.5809,0.1163,-0.5428,-0.0449,-0.0154,0.0588
1.6199,0.0178,-0.1298,-0.0281,9.4672,0.5828,0.1144,-0.5376,-0.0428,-0.0200,0.0593
1.6379,0.0178,-0.1071,-0.0048,9.4552,0.5828,0.1144,-0.5376,-0.0440,-0.0156,0.0600
1.6559,0.0178,-0.0778,-0.0245,9.4313,0.5851,0.1147,-0.5387,-0.0480,-0.0153,0.0609
1.6739,0.0178,-0.1005,-0.0090,9.4253,0.5848,0.1110,-0.5355,-0.0434,-0.0183,0.0606
1.6919,0.0178,-0.1190,-0.0341,9.4415,0.5848,0.1110,-0.5355,-0.0466,-0.0191,0.0585
1.7099,0.0178,-0.1340,-0.0066,9.4211,0.5865,0.1096,-0.5334,-0.0495,-0.0200,0.0593
1.7279,0.0178,-0.0945,-0.0084,9.4313,0.5884,0.1177,-0.5362,-0.0458,-0.0131,0.0615
1.7459,0.0178,-0.0849,-0.0042,9.4588,0.5884,0.1177,-0.5411,-0.0438,-0.0142,0.0574
1.7639,0.0178,-0.1131,-0.0102,9.4481,0.5811,0.1130,-0.5411,-0.0481,-0.0162,0.0609
1.7819,0.0178,-0.1178,-0.0383,9.4672,0.5873,0.1113,-0.5345,-0.0403,-0.0160,0.0600
1.7999,0.0178,-0.0987,-0.0233,9.4660,0.5879,0.1133,-0.5492,-0.0431,-0.0154,0.0603
1.8189,0.0184,-0.1310,-0.0245,9.4756,0.5879,0.1133,-0.5492,-0.0509,-0.0192,0.0583
